Login;Impressions;Clicks;Costs
Samsung-Vivaki-HHP-Note;0;0;0
Samsung-Vivaki-WAS;0;0;0
Samsung-CTV;0;0;0
Alkon-vivaki;231768;2329;73514,33

mars-vivaki2014;0;0;0
coty-vivaki;0;0;0
proctersmg;0;0;0
procterteva;72322;5703;160027,48

hhp-smartphones-annual;370627;23355;585079,55

hhp-smartphones-flight;0;0;0
hhp-tabs-annual;26974;1447;36574,79

ha-ref-annual;68276;1496;31723,95

ha-wm-annual;60388;2970;71487,83

ha-wm-flight;0;0;0
ha-mw-annual;39097;1736;30744,38

ha-mw-flight;0;0;0
ha-vc-annual;39190;2006;59528,46

ha-builtin-annual;35170;1358;30740,66

ac-annual;0;0;0
ctv-annual;135828;8477;217461,10

ctv-flight;279860;3177;76834,89

it-monitors-annual;52467;1643;27253,75

it-monitors-flight;290268;1908;64882,59

it-printers-annual;0;0;0
b2b-annual;20855;299;8840,11

Planning-tests;0;0;0
zaoruskan;0;0;0
Mars-Pedigree;387592;5643;67971,84

OOOPhilipMorris;0;0;0
MultonVivaki;0;0;0
Jacobsrus;0;0;0
it-printers-supplies-annual;0;0;0
planningtests;0;0;0
wrigley-vivaki2015;0;0;0
S7-brand;52926;16305;32245,78

S7-non-brand;0;0;0
S7-RMKT;7272107;5595;84396,65

S7-flight;2977023;7134;103617,83

hhp-watch-annual;79733;5299;114061,33

mars-lyubimchick;18684;1582;44581,11

visa-vivaki;11504;203;2874,06

dr-reddys2016;0;0;0
samsung-ecom-masterpc;0;0;0
it-ssd-annual;38920;1650;35851,34

electronicarts-russia;50408;3767;41700,05

clarins-e-com;0;0;0
samsungimtest-global;139076;4976;75044,57

nioxin-search;49907;1109;30048,53

korkunov-korkunov;188252;1335;28497,27

Systane-Ultra;0;0;0
vc-rsy-flight;31415;291;3419,06

perf-3m-aura;0;0;0
perf-3m-cubitron;0;0;0
wella-pfx1;52412;3107;38708,30

petstory;27373;102;5699,01

corp-annual;64017;1399;101030,68

perf-3m-filtek;0;0;0
pfx-michelin;0;0;0
beeline-pfx;1806;12;515,11

brandshop-samsung;0;0;0
hyatt-pfx;7866;356;10612,73

russwell-pfx;0;0;0
hfc-pfx;23625;331;4027,09

news-ru-8;0;0;0
russwell-prof;40124;1152;16927,14

heinz-babyfood;0;0;0
zaoruskan-royalcanin-annual;0;0;0
coty-ecom;0;0;0
hyatt-pfx-aerhr;9497;251;9036,65

hyatt-pfx-yekhr;2515;200;1532,84

breedermarket-yn-ostzaoruskan;0;0;0
breedermarket-ys-ostzaoruskan;0;0;0
breedermarket-ys-top5zaoruskan;0;0;0
breedermarket-yn-top5zaoruskan;0;0;0
Mars-Whiskas;0;0;0
coty-ecom-1;0;0;0
recruitment-zaoruskan;2271;109;305,70

Mars-Sheba;232662;1212;14570,92

bmarket-yn-top5-top-zaoruskan;0;0;0
bmarket-ys-top5-top-zaoruskan;0;0;0
strauss-pxf;25827;615;18072,32

Mars-Eukanuba;2;0;0,00

samsung-hhp-ecom;161861;24423;445547,19

bioclinic-okumetil;0;0;0
Mars-Kitekat;350793;553;7112,40

Mars-PerfetFitCAT;108421;1807;36957,86

Mars-PerfetFitDOG;10216;180;4410,83

orbit-wrigley-vivaki2015;0;0;0
perf-3m-opp;0;0;0
hyatt-moshr;192374;2243;21035,87

Mars-CesarDOG;24661;752;9886,50

prgr-mercedes;568499;577;118743,92

prgr-mars;0;0;0
prgr-vimpelcom;2675749;2243;80206,02

Mars-NaturesTable;128569;681;10036,07

Mars-snickersmar;459;7;67,00

sandoz-performics;1017017;20681;232971,35

prgr-alcon;0;0;0
prgr-visa;0;0;0
ctv-ecom;33707;1527;48315,07

prgr-mondelez;0;0;0
planninggroup;0;0;0
prgr-russwell-prof;0;0;0
prgr-royalcanin;0;0;0
perf-3m-Litttmann-III;0;0;0
prgr-sandoz;0;0;0
zaoruskan-general;0;0;0
prgr-avon;0;0;0
hhuawei-hes;0;0;0
PG-RU-Pantene;26066;827;32668,78

PG-BY-Pantene;793;65;2593,34

PG-RU-Head-Shoulders;12618;294;21968,98

PG-BY-Head-Shoulders;1087;41;1894,08

PG-RU-Oral-B;18903;1663;58904,81

PG-RU-Hair-Aussie;49494;331;22230,60

PG-RU-Fem-Always;21395;2003;11633,86

PG-RU-Home-Fairy-ADW;1787;166;4799,47

PG-RU-Home-Fairy-HDW;4257;277;10109,63

PG-RU-Home-Mr-Proper;3109;494;10221,05

PG-RU-Shave-Gillette;5458;1099;21904,60

PG-RU-Shave-Venus;0;0;0
PG-RU-Beauty-Old-Spice;2570;139;7035,79

PG-BY-Home-Fairy-HDW;441;19;579,58

PG-BY-Home-Mr-Proper;51;6;92,95

PG-RU-Braun-FEHR;2315;281;3563,86

PG-RU-Braun-MPG;0;0;0
PG-RU-Fabric-Tide;2691;189;4456,55

PG-BY-Fabric-Tide;364;23;331,61

PG-RU-Fabric-Ariel;16766;1553;19541,30

PG-BY-Fabric-Ariel;661;61;475,03

PG-RU-Fabric-Myth;1724;250;2841,75

PG-BY-Fabric-Myth;428;36;451,01

PG-RU-Fabric-Lenor;3180;212;3009,21

PG-BY-Fabric-Lenor;310;16;180,79

PG-RU-Baby-Pampers;14883;2116;135554,73

PG-BY-Baby-Pampers;528;35;1765,47

PG-RU-MBCI;2144390;11639;32600,68

TEVA-RU-Vicks;5811;197;21572,32

PG-RU-Victoria;0;0;0
prgr-samsung;6758531;5176;217228,73

prgr-s7airlines;4697;14;84,40

testshampoo;0;0;0
PG-RU-Baby-Pampers-Promo;13504;260;3490,61

rosbank-deposit;63645;2148;52492,48

perf-3m-aad-asd;5019;406;3536,57

prgr-fca;0;0;0
testpfxmarket;0;0;0
prgr-fca-chrysler;0;0;0
rosbank-loans;4570376;4077;127560,94

perf-3m-transportation;0;0;0
HearingConveration;0;0;0
prgr-pirellirussia;0;0;0
COTY-Russwell-Pro-Londa-Annual;7976;1279;11930,31

prgr-maserati;0;0;0
COTY-RWL-Lux-Lacoste-Annual;36205;1257;30366,48

av-soundbar-annual;8645;655;14079,44

CFG-Clarins-Mugler-Flight;0;0;0
cocacola-pfx;57111;6923;28350,31

mars-pfx;2967897;17988;148549,86

visa-vivaki-afluent;0;0;0
frontline-pfx;51;2;35,46

prgr-coca-cola;0;0;0
pfx-avon2018;562980;7157;80354,03

PG-RU-Oral-B-Aliexpress;0;0;0
PG-RU-Oral-B-Ali-Vitality;0;0;0
poland3m;4312;180;2417,48

s7-test1-auto;0;0;0
s7-test2-auto;0;0;0
mondelez-pxf;89143;1246;18455,97

COTY-CGS-Lux-Burberry-Annual;16274;1506;16892,29

visa-annual;155402;1727;35530,27

PG-RU-Oral-B-Eldorado;145602;706;10094,18

PG-RU-Oral-B-DNS-Shop;20472;900;10185,29

visa-vivaki-ny;263786;254;2426,29

prgr-boehringer;0;0;0
prgr-heineken;0;0;0
PG-RU-Oral-B-MVideo;0;0;0
bayer-aerius;0;0;0
bayer-aerius-display;0;0;0
bayer-afrin;0;0;0
bayer-bepanthen-display;0;0;0
bayer-bepanthen-ds-cream;0;0;0
bayer-bepanthen-mb-ointment;0;0;0
bayer-bepanthen-wh-plus;0;0;0
bayer-calcemin;0;0;0
bayer-claritin;0;0;0
bayer-elevit;0;0;0
bayer-iberogast;0;0;0
bayer-relief-display;0;0;0
bayer-relief;0;0;0
bayer-rennie;0;0;0
bayer-rennie-display;0;0;0
bayer-supradynkids;0;0;0
bayer-supradyn;0;0;0
bayer-theraflex;0;0;0
bayer-triderm;0;0;0
